,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,NORMALIZED_PLAYER_NAME
578,2005,12112,Jared,Homan,Jared Homan,C-PF,79.75,6' 7.75'',80.75,6' 8.75'',248.2,85.25,7' 1.25'',104.5,8' 8.5'',,,,,,,,,16.0,jared-homan
579,2011,202715,Tyler,Honeycutt,Tyler Honeycutt,SF,78.75,6' 6.75'',80.25,6' 8.25'',186.8,81.0,6' 9'',105.0,8' 9'',5.3,8.5,9.5,30.0,37.0,11.68,,3.07,,tyler-honeycutt
580,2014,203918,Rodney,Hood,Rodney Hood,SF,79.25,6' 7.25'',80.5,6' 8.5'',208.2,80.5,6' 8.5'',103.0,8' 7'',7.45,8.5,8.5,29.0,36.0,11.21,3.14,3.38,,rodney-hood
581,2011,12415,Scotty,Hopson,Scotty Hopson,SG,77.75,6' 5.75'',78.5,6' 6.5'',204.6,82.5,6' 10.5'',103.5,8' 7.5'',4.8,8.5,10.0,32.5,36.0,10.47,,3.18,10.0,scotty-hopson
582,2007,201143,Al,Horford,Al Horford,PF,80.0,6' 8'',81.75,6' 9.75'',246.0,84.75,7' 0.75'',107.0,8' 11'',9.1,,,31.0,35.5,12.15,,3.37,20.0,al-horford
583,2006,200812,Daniel,Horton,Daniel Horton,PG-SG,72.5,6' 0.5'',74.25,6' 2.25'',198.0,79.0,6' 7'',96.5,8' 0.5'',8.0,,,30.0,36.5,10.35,,3.16,17.0,daniel-horton
584,2019,1629659,Talen,Horton-Tucker,Talen Horton-Tucker,SG,74.5,6' 2.5'',76.0,6' 4'',235.4,85.25,7' 1.25'',103.0,8' 7'',8.4,9.5,9.75,26.0,34.5,11.34,3.43,3.34,10.0,talen-horton-tucker
585,2003,12083,Sam,Hoskin,Sam Hoskin,PF,79.25,6' 7.25'',,,261.0,82.75,6' 10.75'',107.5,8' 11.5'',,,,,,,,,24.0,sam-hoskin
586,2007,12215,Quinton,Hosley,Quinton Hosley,SF-SG,77.0,6' 5'',79.75,6' 7.75'',215.0,83.25,6' 11.25'',105.0,8' 9'',5.7,,,28.5,34.0,12.47,,3.32,12.0,quinton-hosley
587,2000,2067,Eddie,House,Eddie House,SG-PG,71.75,5' 11.75'',,,176.5,75.5,6' 3.5'',95.0,7' 11'',,,,29.5,38.5,11.12,,3.27,5.0,eddie-house
588,2003,2572,Josh,Howard,Josh Howard,SF-SG,77.25,6' 5.25'',,,202.0,86.0,7' 2'',105.5,8' 9.5'',6.0,,,33.0,36.5,10.89,,3.09,4.0,josh-howard
589,2004,2730,Dwight,Howard,Dwight Howard,PF-C,81.0,6' 9'',82.25,6' 10.25'',240.0,88.5,7' 4.5'',111.5,9' 3.5'',10.5,,,30.5,35.5,11.21,,3.14,7.0,dwight-howard
590,2020,1630210,Markus,Howard,Markus Howard,PG,69.5,5'9.50'',71.0,5'11.00'',170.8,72.25,6'0.25'',91.5,7'7.50'',9.91,8.5,7.75,30.5,35.5,11.21,3.17,3.11,,markus-howard
591,2004,12179,Rolando,Howell,Rolando Howell,PF,79.5,6' 7.5'',80.5,6' 8.5'',229.0,84.5,7' 0.5'',107.0,8' 11'',11.7,,,28.5,34.5,11.91,,3.28,,rolando-howell
592,2013,203494,Richard,Howell,Richard Howell,PF,78.25,6' 6.25'',79.5,6' 7.5'',249.6,82.25,6' 10.25'',105.5,8' 9.5'',8.75,8.75,9.5,,,,,,,richard-howell
