,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,NORMALIZED_PLAYER_NAME
1093,2002,2416,Kareem,Rush,Kareem Rush,SG-SF,76.75,6' 4.75'',,,199.0,81.75,6' 9.75'',103.5,8' 7.5'',,,,26.0,30.0,11.86,,3.22,15.0,kareem-rush
1094,2005,201575,Brandon,Rush,Brandon Rush,SG-SF,77.0,6' 5'',78.5,6' 6.5'',211.4,83.25,6' 11.25'',104.5,8' 8.5'',,,,32.5,35.0,11.33,,3.31,0.0,brandon-rush
1095,2015,1626156,D?Angelo,Russell,D?Angelo Russell,PG-SG,75.25,6' 3.25'',77.0,6' 5'',193.4,81.75,6' 9.75'',102.0,8' 6'',8.3,8.75,9.75,,,,,,,d?angelo-russell
1096,2002,12063,Brooks,Sales,Brooks Sales,PF-C,81.0,6' 9'',,,232.0,82.0,6' 10'',108.0,9' 0'',,,,26.0,29.5,11.05,,3.29,13.0,brooks-sales
1097,2007,12227,Dustin,Salisbery,Dustin Salisbery,SG,75.0,6' 3'',76.75,6' 4.75'',208.0,80.0,6' 8'',100.5,8' 4.5'',6.6,,,34.0,38.0,11.07,,3.12,11.0,dustin-salisbery
1098,2002,2422,John,Salmons,John Salmons,SF-SG,77.5,6' 5.5'',,,207.0,82.25,6' 10.25'',104.0,8' 8'',,,,30.5,34.5,11.35,,3.25,12.0,john-salmons
1099,2019,1629677,Luka,Samanic,Luka Samanic,PF,81.5,6' 9.5'',83.0,6' 11'',227.2,82.5,6' 10.5'',107.0,8' 11'',5.6,8.5,9.0,27.0,38.0,11.01,3.03,3.27,7.0,luka-samanic
1100,2000,12023,Pepe,Sanchez,Pepe Sanchez,PG,75.0,6' 3'',,,194.0,75.5,6' 3.5'',96.0,8' 0'',,,,26.0,31.0,11.62,,3.44,8.0,pepe-sanchez
1101,2004,12011,Aerick,Sanders,Aerick Sanders,PF,78.5,6' 6.5'',79.5,6' 7.5'',205.0,83.5,6' 11.5'',106.0,8' 10'',6.7,,,24.5,30.5,11.98,,3.37,9.0,aerick-sanders
1102,2010,202336,Larry,Sanders,Larry Sanders,PF-C,81.25,6' 9.25'',82.5,6' 10.5'',222.4,89.75,7' 5.75'',112.0,9' 4'',4.6,9.75,11.0,25.5,28.0,12.49,,3.27,7.0,larry-sanders
1103,2000,12024,Matt,Santangelo,Matt Santangelo,PG,72.0,6' 0'',,,177.0,75.0,6' 3'',94.0,7' 10'',,,,33.5,43.0,10.66,,3.06,12.0,matt-santangelo
1104,2001,2219,Jeryl,Sasser,Jeryl Sasser,PG-SG,77.5,6' 5.5'',,,194.0,82.5,6' 10.5'',103.5,8' 7.5'',6.7,,,29.0,34.0,11.47,,3.22,1.0,jeryl-sasser
1105,2004,2781,Romain,Sato,Romain Sato,SG,74.0,6' 2'',75.25,6' 3.25'',204.0,83.0,6' 11'',102.5,8' 6.5'',6.0,,,31.5,35.5,11.27,,3.18,8.0,romain-sato
1106,2012,203107,Tomas,Satoransky,Tomas Satoransky,PG-SG,78.5,6' 6.5'',79.5,6' 7.5'',200.6,79.25,6' 7.25'',100.0,8' 4'',5.2,8.5,9.5,,,,,,,tomas-satoransky
1107,2001,12167,Kenny,Satterfield,Kenny Satterfield,PG,73.0,6' 1'',,,176.0,76.5,6' 4.5'',98.0,8' 2'',6.7,,,28.5,33.0,12.05,,3.2,3.0,kenny-satterfield
1108,2002,2453,Predrag,Savovic,Predrag Savovic,SG,76.75,6' 4.75'',,,212.0,79.0,6' 7'',102.0,8' 6'',,,,22.5,28.5,10.94,,3.38,13.0,predrag-savovic
1109,2001,2243,Brian,Scalabrine,Brian Scalabrine,PF-SF,80.75,6' 8.75'',,,241.0,81.75,6' 9.75'',105.5,8' 9.5'',13.6,,,27.0,30.5,11.75,,3.47,14.0,brian-scalabrine
1110,2000,2637,Alex,Scales,Alex Scales,SG-PG,74.25,6' 2.25'',,,184.5,81.0,6' 9'',97.5,8' 1.5'',,,,38.5,42.5,10.98,,3.21,10.0,alex-scales
1111,2005,101195,Luke,Schenscher,Luke Schenscher,C,83.75,6' 11.75'',85.5,7' 1.5'',241.6,89.0,7' 5'',111.5,9' 3.5'',,,,23.5,26.5,12.4,,3.47,1.0,luke-schenscher
1112,2010,12341,Jon,Scheyer,Jon Scheyer,PG-SG,76.75,6' 4.75'',78.0,6' 6'',180.0,75.25,6' 3.25'',99.0,8' 3'',5.4,7.75,9.5,,,,,,,jon-scheyer
1113,2006,-1,Blake,Schilb,Blake Schilb,PG-SG,77.25,6' 5.25'',78.25,6' 6.25'',209.0,80.75,6' 8.75'',102.0,8' 6'',11.3,,,28.5,34.5,11.25,,3.43,13.0,blake-schilb
1114,2007,12228,Blake,Schilb,Blake Schilb,SG,77.0,6' 5'',79.0,6' 7'',214.0,81.0,6' 9'',102.5,8' 6.5'',10.0,,,26.5,33.5,11.63,,3.36,11.0,blake-schilb
1115,2019,1629678,Admiral,Schofield,Admiral Schofield,SF,76.0,6' 4'',77.25,6' 5.25'',240.6,81.75,6' 9.75'',102.5,8' 6.5'',6.8,8.75,9.0,30.0,34.0,10.77,2.87,3.37,15.0,admiral-schofield
1116,2013,203471,Dennis,Schroder,Dennis Schroder,PG,73.0,6' 1'',74.0,6' 2'',164.8,79.75,6' 7.75'',98.0,8' 2'',4.1,8.75,10.5,30.0,34.0,11.09,2.86,3.21,1.0,dennis-schroder
1117,2012,203118,Mike,Scott,Mike Scott,PF,79.25,6' 7.25'',80.75,6' 8.75'',240.8,82.75,6' 10.75'',104.0,8' 8'',10.6,8.5,9.0,27.0,32.5,11.59,,3.44,14.0,mike-scott
1118,2020,1630206,Jayden,Scrubb,Jayden Scrubb,SG-SF,77.0,6'5.00'',78.2,6'6.25'',185.2,81.5,6'9.50'',104.5,8'8.50'',3.7,8.25,9.75,,,,,,,jayden-scrubb
1119,2001,12168,Lee,Scruggs,Lee Scruggs,PF-SF,82.25,6' 10.25'',,,209.0,89.75,7' 5.75'',110.5,9' 2.5'',10.5,,,23.5,29.5,13.28,,3.55,0.0,lee-scruggs
1120,2007,12229,Renaldas,Seibutis,Renaldas Seibutis,SG,76.0,6' 4'',77.75,6' 5.75'',185.0,80.75,6' 8.75'',101.0,8' 5'',6.1,,,24.0,32.5,11.33,,3.39,1.0,renaldas-seibutis
1121,2004,12012,Blagota,Sekulic,Blagota Sekulic,SF-PF,81.25,6' 9.25'',82.5,6' 10.5'',234.0,83.0,6' 11'',107.0,8' 11'',9.3,,,23.5,31.5,10.93,,3.39,8.0,blagota-sekulic
1122,2011,202729,Josh,Selby,Josh Selby,SG-PG,73.75,6' 1.75'',75.0,6' 3'',194.6,77.25,6' 5.25'',98.0,8' 2'',7.9,8.5,9.0,29.5,42.0,11.13,,3.2,5.0,josh-selby
1123,2016,1627782,Wayne,Selden,Wayne Selden,SG,76.25,6' 4.25'',77.75,6' 5.75'',232.4,82.5,6' 10.5'',101.0,8' 5'',7.3,9.0,9.25,,,,,,,wayne-selden
1124,2006,200754,Mouhamed,Sene,Mouhamed Sene,C,83.0,6' 11'',84.0,7' 0'',237.0,92.5,7' 8.5'',113.0,9' 5'',6.6,,,28.5,31.0,12.52,,3.38,7.0,mouhamed-sene
1125,2002,201324,Julian,Sensley,Julian Sensley,PF-SF,79.0,6' 7'',,,228.0,83.5,6' 11.5'',105.5,8' 9.5'',,,,27.5,31.5,11.85,,3.32,8.0,julian-sensley
1126,2007,201196,Ramon,Sessions,Ramon Sessions,PG,74.0,6' 2'',75.75,6' 3.75'',185.0,76.25,6' 4.25'',97.5,8' 1.5'',6.2,,,29.5,33.5,11.65,,3.27,8.0,ramon-sessions
1127,2018,1629012,Collin,Sexton,Collin Sexton,PG,72.5,6' 0.5'',73.5,6' 1.5'',183.0,79.25,6' 7.25'',98.5,8' 2.5'',5.6,8.25,8.5,,,,,,,collin-sexton
1128,2000,12025,Karim,Shabazz,Karim Shabazz,C,83.5,6' 11.5'',,,224.0,87.0,7' 3'',111.5,9' 3.5'',,,,24.5,28.0,12.72,,3.36,2.0,karim-shabazz
1129,2007,201203,Mustafa,Shakur,Mustafa Shakur,PG,75.0,6' 3'',76.5,6' 4.5'',185.0,77.5,6' 5.5'',99.0,8' 3'',4.1,,,28.5,35.0,11.82,,3.27,11.0,mustafa-shakur
1130,2018,1629013,Landry,Shamet,Landry Shamet,PG,76.0,6' 4'',77.25,6' 5.25'',188.6,78.75,6' 6.75'',100.0,8' 4'',4.85,8.0,9.0,31.0,39.5,11.26,3.21,3.11,8.0,landry-shamet
1131,2019,1629621,Marial,Shayok,Marial Shayok,SF-PF,76.5,6' 4.5'',77.5,6' 5.5'',196.8,84.25,7' 0.25'',103.5,8' 7.5'',4.7,8.75,9.25,29.5,36.5,11.16,3.04,3.37,9.0,marial-shayok
1132,2002,12064,Israel,Sheinfeld,Israel Sheinfeld,PF-C,80.25,6' 8.25'',,,239.0,81.75,6' 9.75'',106.5,8' 10.5'',,,,,,,,,8.0,israel-sheinfeld
1133,2000,12026,Nick,Sheppard,Nick Sheppard,PF-C,81.5,6' 9.5'',,,273.0,83.0,6' 11'',107.5,8' 11.5'',,,,23.5,25.5,12.14,,3.52,18.0,nick-sheppard
1134,2003,12097,Joe,Shipp,Joe Shipp,SG,76.0,6' 4'',,,224.0,82.0,6' 10'',103.0,8' 7'',11.7,,,29.0,34.5,11.75,,3.2,17.0,joe-shipp
1135,2019,1629679,Simisola,Shittu,Simisola Shittu,PF,80.5,6' 8.5'',81.5,6' 9.5'',227.2,85.25,7' 1.25'',106.0,8' 10'',6.2,8.75,8.5,27.0,35.5,11.85,3.24,3.3,11.0,simisola-shittu
1136,2002,12065,Preston,Shumpert,Preston Shumpert,SF,78.0,6' 6'',,,197.0,80.5,6' 8.5'',103.5,8' 7.5'',,,,28.5,29.0,11.03,,3.24,9.0,preston-shumpert
1137,2011,202697,Iman,Shumpert,Iman Shumpert,PG-SG,76.25,6' 4.25'',77.5,6' 5.5'',221.8,81.5,6' 9.5'',99.5,8' 3.5'',6.5,9.0,9.0,36.5,42.0,11.1,,3.18,18.0,iman-shumpert
1138,2016,1627783,Pascal,Siakam,Pascal Siakam,PF,80.25,6' 8.25'',81.5,6' 9.5'',226.6,87.25,7' 3.25'',107.5,8' 11.5'',5.2,9.25,10.0,30.5,36.5,11.25,3.09,3.41,,pascal-siakam
1139,2005,101134,Wayne,Simien,Wayne Simien,PF,79.25,6' 7.25'',81.0,6' 9'',255.8,84.0,7' 0'',107.0,8' 11'',,,,27.0,27.5,11.05,,3.35,11.0,wayne-simien
1140,2001,2250,Bobby,Simmons,Bobby Simmons,SF,78.25,6' 6.25'',,,235.0,84.25,7' 0.25'',105.0,8' 9'',6.7,,,27.5,34.0,11.69,,3.41,12.0,bobby-simmons
1141,2005,12120,Tre,Simmons,Tre Simmons,SG-SF,76.0,6' 4'',77.0,6' 5'',194.2,79.5,6' 7.5'',102.5,8' 6.5'',,,,27.0,31.5,10.8,,3.18,3.0,tre-simmons
1142,2006,200759,Cedric,Simmons,Cedric Simmons,PF-C,80.25,6' 8.25'',81.5,6' 9.5'',223.0,88.25,7' 4.25'',108.5,9' 0.5'',5.6,,,30.5,35.0,11.05,,3.31,15.0,cedric-simmons
1143,2017,1628424,Kobi,Simmons,Kobi Simmons,PG,75.25,6' 3.25'',76.5,6' 4.5'',166.2,78.0,6' 6'',99.0,8' 3'',5.0,8.5,9.5,30.5,38.5,11.15,2.98,3.18,3.0,kobi-simmons
1144,2005,12121,David,Simon,David Simon,C-PF,80.0,6' 8'',81.5,6' 9.5'',258.8,87.5,7' 3.5'',108.0,9' 0'',,,,28.0,33.0,11.98,,3.44,18.0,david-simon
1145,2018,1629014,Anfernee,Simons,Anfernee Simons,SG-PG,74.25,6' 2.25'',75.25,6' 3.25'',183.2,81.25,6' 9.25'',99.5,8' 3.5'',7.7,8.75,9.0,32.0,41.5,11.27,3.16,3.1,1.0,anfernee-simons
1146,2012,203156,Henry,Sims,Henry Sims,C-PF,82.0,6' 10'',83.75,6' 11.75'',241.2,88.0,7' 4'',108.0,9' 0'',7.7,9.25,10.0,26.5,29.5,12.33,,3.44,7.0,henry-sims
1147,2011,202713,Kyle,Singler,Kyle Singler,SF,79.5,6' 7.5'',80.5,6' 8.5'',228.0,82.1,6' 10.1'',106.0,8' 10'',10.0,8.25,8.75,23.0,30.0,11.22,,3.21,10.0,kyle-singler
1148,2008,201606,Sean,Singletary,Sean Singletary,PG,71.0,5' 11'',72.0,6' 0'',183.8,76.5,6' 4.5'',95.0,7' 11'',4.2,,,26.0,,,,,18.0,sean-singletary
1149,2011,202698,Chris,Singleton,Chris Singleton,SF,79.75,6' 7.75'',81.0,6' 9'',230.2,85.0,7' 1'',103.5,8' 7.5'',7.4,9.25,10.0,30.5,37.5,11.33,,3.09,15.0,chris-singleton
1150,2013,203491,Peyton,Siva,Peyton Siva,PG,71.5,5' 11.5'',73.0,6' 1'',180.6,75.0,6' 3'',93.0,7' 9'',6.05,8.0,9.75,33.5,41.5,10.59,2.93,3.16,15.0,peyton-siva
1151,2011,12441,Jamie,Skeen,Jamie Skeen,PF,78.5,6' 6.5'',80.0,6' 8'',241.6,85.25,7' 1.25'',106.5,8' 10.5'',9.8,8.5,8.5,26.0,30.5,12.43,,3.46,10.0,jamie-skeen
1152,2006,201201,Marcus,Slaughter,Marcus Slaughter,PF-SF,79.0,6' 7'',80.0,6' 8'',220.0,83.5,6' 11.5'',104.5,8' 8.5'',8.5,,,30.0,34.0,11.56,,3.4,9.0,marcus-slaughter
1153,2002,2447,Tamar,Slay,Tamar Slay,SF,78.75,6' 6.75'',,,203.0,83.5,6' 11.5'',104.0,8' 8'',,,,32.5,38.0,10.94,,3.09,11.0,tamar-slay
1154,2003,12098,Ron,Slay,Ron Slay,SF-PF,78.0,6' 6'',,,236.0,82.0,6' 10'',103.5,8' 7.5'',16.3,,,28.5,31.5,12.01,,3.43,10.0,ron-slay
1155,2014,203935,Marcus,Smart,Marcus Smart,PG,74.0,6' 2'',75.25,6' 3.25'',227.2,81.25,6' 9.25'',99.0,8' 3'',10.55,9.0,8.75,33.0,36.0,10.82,2.96,3.26,,marcus-smart
1156,2000,2065,Mike,Smith,Mike Smith,SF,78.5,6' 6.5'',,,198.0,80.5,6' 8.5'',103.0,8' 7'',,,,33.0,21.0,11.32,,3.22,12.0,mike-smith
1157,2000,2074,Jabari,Smith,Jabari Smith,PF-C,81.75,6' 9.75'',,,240.5,86.5,7' 2.5'',109.5,9' 1.5'',,,,24.5,30.0,12.45,,3.43,15.0,jabari-smith
1158,2003,2596,Tommy,Smith,Tommy Smith,PF-SF,81.0,6' 9'',,,200.0,86.5,7' 2.5'',107.5,8' 11.5'',6.7,,,30.0,33.0,11.54,,3.14,2.0,tommy-smith
1159,2003,2604,Theron,Smith,Theron Smith,PF-SF,78.5,6' 6.5'',,,234.0,82.25,6' 10.25'',104.5,8' 8.5'',9.3,,,28.5,32.0,10.99,,3.1,25.0,theron-smith
1160,2004,2746,Josh,Smith,Josh Smith,SG-SF,79.0,6' 7'',80.25,6' 8.25'',221.0,84.0,7' 0'',106.5,8' 10.5'',6.7,,,32.5,39.5,11.43,,3.24,12.0,josh-smith
1161,2004,2747,J.R.,Smith,J.R. Smith,SG-SF,77.5,6' 5.5'',78.75,6' 6.75'',227.0,82.0,6' 10'',104.0,8' 8'',6.7,,,29.0,35.5,10.93,,3.21,5.0,jr-smith
1162,2006,200783,Craig,Smith,Craig Smith,PF,77.5,6' 5.5'',78.5,6' 6.5'',259.0,81.5,6' 9.5'',103.5,8' 7.5'',12.2,,,30.0,29.5,11.59,,3.4,,craig-smith
1163,2006,200848,Steven,Smith,Steven Smith,SF-PF,79.5,6' 7.5'',81.25,6' 9.25'',238.0,84.5,7' 0.5'',104.0,8' 8'',7.8,,,29.5,34.5,12.08,,3.4,15.0,steven-smith
1164,2007,201160,Jason,Smith,Jason Smith,PF,82.75,6' 10.75'',83.5,6' 11.5'',233.0,82.75,6' 10.75'',106.0,8' 10'',7.5,,,33.5,37.5,10.96,,3.29,15.0,jason-smith
1165,2009,12284,Tyler,Smith,Tyler Smith,SF,77.25,6' 5.25'',78.0,6' 6'',212.0,81.75,6' 9.75'',104.5,8' 8.5'',7.0,,,29.0,33.5,10.69,,3.24,10.0,tyler-smith
1166,2011,12442,Gregory,Smith,Gregory Smith,PF-C,80.0,6' 8'',81.25,6' 9.25'',252.8,86.5,7' 2.5'',106.5,8' 10.5'',7.4,9.75,12.0,29.5,36.0,12.43,,3.36,17.0,gregory-smith
1167,2011,202701,Nolan,Smith,Nolan Smith,PG,73.5,6' 1.5'',75.5,6' 3.5'',187.6,77.5,6' 5.5'',99.0,8' 3'',5.6,8.5,9.25,28.5,34.0,11.05,,3.17,9.0,nolan-smith
1168,2018,1629015,Zhaire,Smith,Zhaire Smith,SF-SG,74.75,6' 2.75'',76.0,6' 4'',198.6,81.75,6' 9.75'',100.0,8' 4'',6.05,8.75,8.25,33.0,41.5,11.02,3.15,3.05,10.0,zhaire-smith
1169,2014,203893,Russ,Smith,Russ Smith,PG,71.5,5' 11.5'',72.75,6' 0.75'',160.0,75.5,6' 3.5'',95.0,7' 11'',3.5,8.25,8.5,29.5,34.0,11.57,3.01,3.27,,russ-smith
1170,2020,1630188,Jalen,Smith,Jalen Smith,PF-C,81.25,6'9.25'',82.2,6'10.25'',224.6,86.25,7'2.25'',110.0,9'2.00'',3.7,9.25,9.25,,,,,,,jalen-smith
1171,2013,203503,Tony,Snell,Tony Snell,SF-SG,78.0,6' 6'',79.25,6' 7.25'',198.2,83.5,6' 11.5'',105.5,8' 9.5'',4.85,9.0,9.5,30.0,36.5,11.36,2.84,3.25,7.0,tony-snell
1172,2004,2745,Kirk,Snyder,Kirk Snyder,SG-SF,78.0,6' 6'',78.75,6' 6.75'',228.0,81.0,6' 9'',104.0,8' 8'',9.3,,,30.0,35.0,10.79,,3.13,19.0,kirk-snyder
1173,2001,2226,Will,Solomon,Will Solomon,PG-SG,71.75,5' 11.75'',,,172.0,81.5,6' 9.5'',99.5,8' 3.5'',4.0,,,28.5,35.0,11.3,,3.22,4.0,will-solomon
1174,2002,2443,Darius,Songaila,Darius Songaila,PF,80.0,6' 8'',,,240.0,85.0,7' 1'',108.5,9' 0.5'',,,,24.5,29.5,11.69,,3.52,8.0,darius-songaila
1175,2013,203480,James,Southerland,James Southerland,SF-PF,79.0,6' 7'',80.0,6' 8'',220.6,85.0,7' 1'',106.0,8' 10'',8.05,8.0,9.5,29.0,32.0,10.9,3.03,3.38,5.0,james-southerland
1176,2006,23033,Michael,Southhall,Michael Southhall,C,81.5,6' 9.5'',82.25,6' 10.25'',241.0,88.25,7' 4.25'',107.5,8' 11.5'',7.9,,,31.5,37.0,12.29,,3.51,2.0,michael-southhall
1177,2004,2776,Pape,Sow,Pape Sow,PF-C,80.5,6' 8.5'',82.0,6' 10'',233.0,86.0,7' 2'',108.5,9' 0.5'',9.3,,,28.0,31.5,12.13,,3.27,18.0,pape-sow
1178,2018,1629034,Ray,Spalding,Ray Spalding,PF,81.0,6' 9'',82.25,6' 10.25'',215.4,88.75,7' 4.75'',109.0,9' 1'',5.55,9.25,9.0,26.0,32.0,11.48,3.2,3.34,12.0,ray-spalding
1179,2018,1629016,Omari,Spellman,Omari Spellman,PF-C,80.0,6' 8'',81.25,6' 9.25'',253.8,86.0,7' 2'',107.5,8' 11.5'',13.75,9.0,9.0,28.5,35.5,12.28,3.35,3.38,8.0,omari-spellman
1180,2004,12014,Tiago,Splitter,Tiago Splitter,C-PF,82.25,6' 10.25'',83.75,6' 11.75'',233.0,86.0,7' 2'',109.5,9' 1.5'',5.3,,,26.0,31.5,11.65,,3.38,8.0,tiago-splitter
1181,2020,1630199,Cassius,Stanley,Cassius Stanley,SG,77.0,6'5.00'',78.2,6'6.25'',201.6,79.0,6'7.00'',99.5,8'3.50'',5.8,8.25,9.0,34.5,44.0,11.4,2.43,3.09,,cassius-stanley
1182,2014,203917,Nik,Stauskas,Nik Stauskas,SG,77.25,6' 5.25'',78.5,6' 6.5'',206.9,79.75,6' 7.75'',102.0,8' 6'',12.05,8.5,8.5,29.0,35.5,10.79,2.92,3.27,,nik-stauskas
1183,2008,12271,Ronald,Steele,Ronald Steele,PG,72.25,6' 0.25'',73.5,6' 1.5'',183.5,76.25,6' 4.25'',97.5,8' 1.5'',8.1,,,25.0,29.5,11.08,,3.26,5.0,ronald-steele
1184,2000,12027,Jarrett,Stephens,Jarrett Stephens,PF,77.25,6' 5.25'',,,258.0,81.25,6' 9.25'',103.0,8' 7'',,,,27.0,29.0,11.98,,3.46,13.0,jarrett-stephens
1185,2010,202362,Lance,Stephenson,Lance Stephenson,SG,76.5,6' 4.5'',77.75,6' 5.75'',227.0,82.5,6' 10.5'',103.0,8' 7'',9.3,9.0,10.25,27.0,33.0,11.39,,3.38,10.0,lance-stephenson
1187,2020,1630205,Lamar,Stevens,Lamar Stevens,SF-PF,77.75,6'5.75'',78.7,6'6.75'',228.0,81.0,6'9.00'',101.0,8'5.00'',6.8,8.5,9.75,35.0,41.0,10.35,2.54,3.2,,lamar-stevens
1188,2001,12169,Greg,Stevenson,Greg Stevenson,SF,75.75,6' 3.75'',,,215.0,84.5,7' 0.5'',102.0,8' 6'',7.3,,,30.0,35.5,11.29,,3.23,15.0,greg-stevenson
1189,2020,1630191,Isaiah,Stewart,Isaiah Stewart,C,79.25,6'7.25'',80.5,6'8.50'',243.0,88.75,7'4.75'',108.5,9'0.50'',7.5,9.0,10.5,,,,,,,isaiah-stewart
1190,2006,12199,Frans,Steyn,Frans Steyn,C,85.25,7' 1.25'',86.5,7' 2.5'',280.0,86.25,7' 2.25'',109.0,9' 1'',12.8,,,28.5,29.5,11.67,,3.38,,frans-steyn
1191,2006,201028,Curtis,Stinson,Curtis Stinson,SG,73.75,6' 1.75'',74.75,6' 2.75'',208.0,77.0,6' 5'',97.5,8' 1.5'',6.0,,,28.0,31.5,10.95,,3.27,17.0,curtis-stinson
1192,2014,203950,Jarnell,Stokes,Jarnell Stokes,PF,79.0,6' 7'',80.5,6' 8.5'',262.8,85.25,7' 1.25'',103.5,8' 7.5'',8.2,9.75,10.5,31.0,36.0,11.92,3.2,3.26,,jarnell-stokes
1193,2003,12099,Marvin,Stone,Marvin Stone,C-PF,81.5,6' 9.5'',,,261.0,87.5,7' 3.5'',109.5,9' 1.5'',17.4,,,25.5,27.5,12.1,,3.5,9.0,marvin-stone
1194,2016,1627754,Diamond,Stone,Diamond Stone,C,81.0,6' 9'',82.25,6' 10.25'',254.4,86.75,7' 2.75'',108.5,9' 0.5'',12.85,8.5,7.75,27.0,29.5,12.02,3.22,3.5,,diamond-stone
1195,2002,2405,Amar'e,Stoudemire,Amar'e Stoudemire,PF,80.5,6' 8.5'',,,233.0,85.75,7' 1.75'',108.5,9' 0.5'',,,,32.0,35.5,11.19,,3.25,12.0,amare-stoudemire
1196,2007,201199,DJ,Strawberry,DJ Strawberry,SG,75.75,6' 3.75'',77.0,6' 5'',199.0,78.5,6' 6.5'',101.0,8' 5'',4.5,,,28.5,35.0,10.87,,3.14,21.0,dj-strawberry
1197,2007,201155,Rodney,Stuckey,Rodney Stuckey,SG-PG,75.75,6' 3.75'',76.5,6' 4.5'',207.0,79.25,6' 7.25'',100.5,8' 4.5'',6.1,,,30.5,35.0,11.34,,3.11,14.0,rodney-stuckey
1198,2012,203096,Jared,Sullinger,Jared Sullinger,PF,79.75,6' 7.75'',81.0,6' 9'',268.2,85.25,7' 1.25'',105.5,8' 9.5'',10.7,9.25,9.75,29.5,31.0,12.77,,3.81,9.0,jared-sullinger
1199,2009,201969,DaJuan,Summers,DaJuan Summers,SF,79.25,6' 7.25'',80.5,6' 8.5'',243.0,84.75,7' 0.75'',106.5,8' 10.5'',6.6,,,29.5,34.5,10.94,,3.17,15.0,dajuan-summers
1200,2017,1628410,Edmond,Sumner,Edmond Sumner,PG,76.0,6' 4'',77.75,6' 5.75'',176.4,81.0,6' 9'',102.5,8' 6.5'',8.3,8.25,9.0,,,,,,,edmond-sumner
1201,2007,12230,Curtis,Sumpter,Curtis Sumpter,SF,78.0,6' 6'',79.75,6' 7.75'',227.0,81.5,6' 9.5'',104.0,8' 8'',5.3,,,27.5,32.5,11.3,,3.22,12.0,curtis-sumpter
1202,2007,201180,Yue,Sun,Yue Sun,SF,79.75,6' 7.75'',80.75,6' 8.75'',212.0,81.0,6' 9'',105.0,8' 9'',5.1,,,29.0,34.0,10.68,,3.45,9.0,yue-sun
1203,2016,1628403,Caleb,Swanigan,Caleb Swanigan,PF,79.5,6' 7.5'',80.5,6' 8.5'',246.6,87.5,7' 3.5'',107.0,8' 11'',12.55,9.0,10.25,26.0,29.0,12.8,,,,caleb-swanigan
1204,2017,1628403,Caleb,Swanigan,Caleb Swanigan,PF,79.5,6' 7.5'',80.5,6' 8.5'',245.6,87.0,7' 3'',108.0,9' 0'',,9.5,10.25,,,,,,,caleb-swanigan
1205,2003,2552,Michael,Sweetney,Michael Sweetney,PF,79.25,6' 7.25'',,,262.0,85.0,7' 1'',107.5,8' 11.5'',14.1,,,26.0,31.5,12.9,,3.28,3.0,michael-sweetney
1206,2015,1626208,Keifer,Sykes,Keifer Sykes,PG,70.5,5' 10.5'',71.75,5' 11.75'',167.2,74.0,6' 2'',93.0,7' 9'',5.0,8.5,9.5,34.0,43.0,10.47,3.15,3.13,8.0,keifer-sykes
1207,2005,101147,Chris,Taft,Chris Taft,PF,80.5,6' 8.5'',81.5,6' 9.5'',261.0,85.75,7' 1.75'',109.0,9' 1'',,,,28.5,33.0,11.26,,3.27,14.0,chris-taft
1208,2007,201249,Jamaal,Tatum,Jamaal Tatum,PG,71.5,5' 11.5'',72.75,6' 0.75'',168.0,74.5,6' 2.5'',93.5,7' 9.5'',5.0,,,28.5,33.0,11.51,,3.22,7.0,jamaal-tatum
1209,2002,2445,Marcus,Taylor,Marcus Taylor,PG,73.0,6' 1'',,,181.0,76.5,6' 4.5'',98.5,8' 2.5'',,,,27.5,33.5,11.25,,3.31,4.0,marcus-taylor
1210,2008,12272,Bryce,Taylor,Bryce Taylor,SG,74.75,6' 2.75'',76.25,6' 4.25'',210.0,81.0,6' 9'',99.5,8' 3.5'',8.3,,,34.5,41.0,11.08,,3.19,16.0,bryce-taylor
1211,2008,201446,Mike,Taylor,Mike Taylor,SG-PG,72.75,6' 0.75'',74.0,6' 2'',166.2,79.25,6' 7.25'',98.0,8' 2'',3.8,,,31.0,39.0,10.98,,3.08,2.0,mike-taylor
1212,2009,201966,Jermaine,Taylor,Jermaine Taylor,SG,75.5,6' 3.5'',76.75,6' 4.75'',207.4,80.75,6' 8.75'',101.0,8' 5'',5.8,,,34.0,37.5,11.54,,3.32,16.0,jermaine-taylor
1213,2012,12507,Jordan,Taylor,Jordan Taylor,PG,73.0,6' 1'',74.0,6' 2'',192.8,75.0,6' 3'',92.5,7' 8.5'',5.5,8.25,9.5,33.0,36.5,10.57,,3.19,14.0,jordan-taylor
1214,2012,203106,Jeff,Taylor,Jeff Taylor,SF-SG,78.0,6' 6'',79.25,6' 7.25'',212.8,78.25,6' 6.25'',101.5,8' 5.5'',4.2,8.25,9.75,33.5,40.0,10.87,,3.29,15.0,jeff-taylor
